Date,Time,Timezone,Open,High,Low,Close
2025-01-08,10:44:00,+05:30,23559.85,23563.9,23553.65,23554.75
2025-01-08,10:45:00,+05:30,23553.4,23570.05,23551.45,23563.0
2025-01-08,10:46:00,+05:30,23563.75,23571.1,23562.3,23571.1
2025-01-08,10:47:00,+05:30,23571.3,23572.6,23566.1,23572.05
2025-01-08,10:48:00,+05:30,23572.35,23579.45,23568.25,23578.0
2025-01-08,10:49:00,+05:30,23577.9,23581.7,23570.5,23579.75
2025-01-08,10:50:00,+05:30,23579.7,23580.7,23570.75,23573.25
2025-01-08,10:51:00,+05:30,23573.4,23576.9,23569.85,23576.9
2025-01-08,10:52:00,+05:30,23576.4,23582.95,23572.1,23572.8
2025-01-08,10:53:00,+05:30,23573.4,23580.55,23571.85,23580.4
2025-01-08,10:54:00,+05:30,23581.05,23583.25,23571.95,23571.95
2025-01-08,10:55:00,+05:30,23572.75,23577.95,23568.3,23577.95
2025-01-08,10:56:00,+05:30,23577.65,23580.1,23568.0,23570.9
2025-01-08,10:57:00,+05:30,23571.4,23571.75,23565.55,23570.45
2025-01-08,10:58:00,+05:30,23571.25,23577.7,23571.25,23574.8
2025-01-08,10:59:00,+05:30,23575.25,23577.05,23572.3,23575.65
2025-01-08,11:00:00,+05:30,23575.85,23577.8,23563.65,23577.4
2025-01-08,11:01:00,+05:30,23576.8,23588.8,23575.45,23588.7
2025-01-08,11:02:00,+05:30,23587.45,23588.3,23577.4,23579.3
2025-01-08,11:03:00,+05:30,23579.75,23580.5,23570.65,23573.2
2025-01-08,11:04:00,+05:30,23573.95,23576.05,23570.1,23570.15
2025-01-08,11:05:00,+05:30,23570.2,23570.45,23560.15,23564.95
2025-01-08,11:06:00,+05:30,23564.8,23569.4,23564.15,23568.65
2025-01-08,11:07:00,+05:30,23569.8,23577.55,23569.8,23573.0
2025-01-08,11:08:00,+05:30,23572.4,23572.4,23567.3,23567.85
2025-01-08,11:09:00,+05:30,23568.5,23570.35,23565.85,23569.55
2025-01-08,11:10:00,+05:30,23569.9,23580.0,23568.0,23578.95
2025-01-08,11:11:00,+05:30,23580.9,23580.9,23575.2,23576.85
2025-01-08,11:12:00,+05:30,23576.95,23577.85,23573.7,23577.7
2025-01-08,11:13:00,+05:30,23577.85,23582.95,23576.65,23582.95
2025-01-08,11:14:00,+05:30,23583.0,23583.35,23573.0,23573.0
2025-01-08,11:15:00,+05:30,23572.15,23572.15,23566.45,23568.5
2025-01-08,11:16:00,+05:30,23568.15,23579.5,23568.15,23578.25
2025-01-08,11:17:00,+05:30,23578.75,23581.05,23554.05,23557.25
2025-01-08,11:18:00,+05:30,23555.85,23560.45,23553.7,23560.4
2025-01-08,11:19:00,+05:30,23561.3,23580.35,23559.55,23575.8
2025-01-08,11:20:00,+05:30,23575.55,23575.55,23557.85,23560.45
2025-01-08,11:21:00,+05:30,23560.7,23561.3,23548.5,23549.0
2025-01-08,11:22:00,+05:30,23549.15,23551.45,23536.2,23539.6
2025-01-08,11:23:00,+05:30,23538.95,23544.25,23535.35,23544.25
2025-01-08,11:24:00,+05:30,23544.7,23548.65,23544.05,23546.8
2025-01-08,11:25:00,+05:30,23547.2,23556.1,23546.2,23554.55
2025-01-08,11:26:00,+05:30,23555.3,23567.7,23555.3,23567.15
2025-01-08,11:27:00,+05:30,23568.55,23582.4,23567.5,23582.3
2025-01-08,11:28:00,+05:30,23581.9,23586.1,23580.65,23584.15
2025-01-08,11:29:00,+05:30,23583.2,23584.75,23579.75,23580.75
2025-01-08,11:30:00,+05:30,23581.35,23584.1,23575.2,23583.5
2025-01-08,11:31:00,+05:30,23584.5,23597.4,23582.65,23595.7
2025-01-08,11:32:00,+05:30,23596.05,23596.2,23584.25,23590.95
2025-01-08,11:33:00,+05:30,23590.0,23599.1,23588.85,23593.0
2025-01-08,11:34:00,+05:30,23593.9,23596.65,23592.25,23594.0
2025-01-08,11:35:00,+05:30,23591.5,23596.0,23591.5,23592.45
2025-01-08,11:36:00,+05:30,23593.05,23603.7,23592.0,23602.15
2025-01-08,11:37:00,+05:30,23601.2,23602.0,23592.65,23593.3
